Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Toyota,Toyota SUBCOMPACT 2.0L,SUBCOMPACT,2.0,4,M6,X,10.4,6.2,9.0,31,214
Chevrolet,Chevrolet PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,A8,X,17.4,11.4,15.4,18,365
Volkswagen,Volkswagen SUV 2.4L,SUV - STANDARD,2.4,4,A9,X,11.1,6.9,9.7,29,227
BMW,BMW SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,AS10,Z,12.6,6.0,10.4,27,255
Ford,Ford PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,AS10,E,21.7,9.7,17.7,16,290
Nissan,Nissan MID-SIZE 2.4L,MID-SIZE,2.4,4,AS10,X,11.4,5.1,9.3,30,214
Chevrolet,Chevrolet PICKUP 4.0L,PICKUP TRUCK - SMALL,4.0,8,M6,X,15.5,7.1,12.7,22,299
Porsche,Porsche MINIVAN 3.6L,MINIVAN,3.6,6,AS10,Z,16.4,8.9,13.9,20,325
Porsche,Porsche TWO-SEATER 1.5L,TWO-SEATER,1.5,4,AM7,X,10.1,5.6,8.6,33,193
Lexus,Lexus VAN 4.0L,VAN - PASSENGER,4.0,8,AM7,Z,16.4,10.7,14.5,19,343
Mercedes-Benz,Mercedes-Benz MINIVAN 2.5L,MINIVAN,2.5,4,M6,X,12.6,6.3,10.5,27,243
Ford,Ford VAN 5.3L,VAN - PASSENGER,5.3,8,AM7,X,19.4,12.8,17.2,16,407
Subaru,Subaru SUV 3.0L,SUV - STANDARD,3.0,6,AS10,D,11.2,7.6,10.0,28,274
Mercedes-Benz,Mercedes-Benz STATION 3.5L,STATION WAGON - SMALL,3.5,6,A8,Z,16.7,6.8,13.4,21,321
Ram,Ram SUV 4.0L,SUV - SMALL,4.0,8,AS8,Z,17.2,9.1,14.5,19,342
Ram,Ram VAN 2.7L,VAN - PASSENGER,2.7,6,A9,X,11.6,7.7,10.3,27,241
GMC,GMC SUV 3.0L,SUV - SMALL,3.0,6,M5,X,13.7,8.6,12.0,24,284
BMW,BMW MINIVAN 4.0L,MINIVAN,4.0,8,AV,X,17.7,8.4,14.6,19,346
Mercedes-Benz,Mercedes-Benz SUV 3.5L,SUV - SMALL,3.5,6,M5,X,15.5,7.4,12.8,22,299
GMC,GMC COMPACT 2.0L,COMPACT,2.0,4,M5,X,10.6,7.3,9.5,30,225
BMW,BMW PICKUP 3.6L,PICKUP TRUCK - SMALL,3.6,6,AV,Z,15.1,10.6,13.6,21,320
Chevrolet,Chevrolet SUV 3.5L,SUV - STANDARD,3.5,6,M6,X,15.1,7.6,12.6,22,297
Audi,Audi MID-SIZE 3.5L,MID-SIZE,3.5,6,M6,E,18.8,11.6,16.4,17,271
Subaru,Subaru COMPACT 3.5L,COMPACT,3.5,6,A6,E,19.7,10.7,16.7,17,276
Honda,Honda PICKUP 2.5L,PICKUP TRUCK - SMALL,2.5,4,AS6,X,11.9,5.3,9.7,29,231
Audi,Audi FULL-SIZE 2.5L,FULL-SIZE,2.5,4,AS6,X,11.4,5.7,9.5,30,216
Ford,Ford PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,4,AS8,E,13.8,9.0,12.2,23,207
Nissan,Nissan MINIVAN 2.0L,MINIVAN,2.0,4,AS10,X,10.7,4.4,8.6,33,195
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,M5,X,7.7,5.3,6.9,41,162
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,A8,X,18.1,10.9,15.7,18,376
Toyota,Toyota PICKUP 3.5L,PICKUP TRUCK - SMALL,3.5,6,A8,Z,13.8,8.7,12.1,23,284
Dodge,Dodge FULL-SIZE 5.0L,FULL-SIZE,5.0,8,A6,D,15.1,10.6,13.6,21,365
Volkswagen,Volkswagen MID-SIZE 2.0L,MID-SIZE,2.0,4,A8,X,10.0,5.2,8.4,34,203
Honda,Honda SUV 4.0L,SUV - SMALL,4.0,8,AV,Z,17.0,8.9,14.3,20,332
Volkswagen,Volkswagen SUV 2.4L,SUV - SMALL,2.4,4,A9,X,11.3,7.4,10.0,28,236
BMW,BMW SUV 3.0L,SUV - STANDARD,3.0,6,A9,Z,14.2,8.5,12.3,23,287
BMW,BMW SUV 3.5L,SUV - SMALL,3.5,6,M6,Z,16.1,7.1,13.1,22,310
Jeep,Jeep FULL-SIZE 5.0L,FULL-SIZE,5.0,8,AS6,D,16.9,10.3,14.7,19,394
Jeep,Jeep PICKUP 2.4L,PICKUP TRUCK - SMALL,2.4,4,A9,X,10.1,5.9,8.7,32,203
Dodge,Dodge PICKUP 4.0L,PICKUP TRUCK - SMALL,4.0,8,AS10,X,17.4,8.7,14.5,19,335
Lexus,Lexus TWO-SEATER 1.8L,TWO-SEATER,1.8,4,AM7,Z,10.1,7.4,9.2,31,218
Toyota,Toyota SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,A8,X,9.7,4.6,8.0,35,185
Toyota,Toyota SUV 5.0L,SUV - SMALL,5.0,8,A8,Z,19.7,8.6,16.0,18,371
Jeep,Jeep MINIVAN 2.0L,MINIVAN,2.0,4,M6,Z,12.3,6.0,10.2,28,242
Nissan,Nissan COMPACT 3.6L,COMPACT,3.6,6,AS6,Z,15.8,8.6,13.4,21,318
Volkswagen,Volkswagen SUV 1.5L,SUV - SMALL,1.5,4,A9,E,13.6,7.0,11.4,25,187
Jeep,Jeep STATION 3.0L,STATION WAGON - SMALL,3.0,6,A8,Z,13.9,9.7,12.5,23,294
Lexus,Lexus PICKUP 1.8L,PICKUP TRUCK - SMALL,1.8,4,AS8,Z,9.4,5.2,8.0,35,195
BMW,BMW SUV 3.6L,SUV - STANDARD,3.6,6,AS6,X,14.9,7.4,12.4,23,297
Mercedes-Benz,Mercedes-Benz SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,AM7,X,10.4,4.7,8.5,33,204
Ford,Ford PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,AS10,X,18.3,8.7,15.1,19,356
Audi,Audi SUV 5.0L,SUV - STANDARD,5.0,8,A6,E,26.9,12.5,22.1,13,362
Ford,Ford SUV 2.7L,SUV - STANDARD,2.7,6,AS6,X,12.7,8.8,11.4,25,267
Toyota,Toyota MINICOMPACT 2.0L,MINICOMPACT,2.0,4,M5,E,13.8,7.8,11.8,24,198
Audi,Audi FULL-SIZE 4.0L,FULL-SIZE,4.0,8,AM7,X,17.7,10.5,15.3,18,357
BMW,BMW MINIVAN 3.5L,MINIVAN,3.5,6,AS10,X,15.4,7.0,12.6,22,301
Nissan,Nissan FULL-SIZE 3.0L,FULL-SIZE,3.0,6,AS6,X,15.4,6.7,12.5,23,291
Ford,Ford MINICOMPACT 2.0L,MINICOMPACT,2.0,4,A6,X,10.0,6.4,8.8,32,204
Ford,Ford TWO-SEATER 3.6L,TWO-SEATER,3.6,6,A9,D,11.6,6.2,9.8,29,255
Jeep,Jeep TWO-SEATER 5.0L,TWO-SEATER,5.0,8,AS6,Z,19.5,10.5,16.5,17,384
BMW,BMW MINIVAN 1.5L,MINIVAN,1.5,4,AM7,Z,9.2,6.2,8.2,34,190
Ford,Ford PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,M6,E,26.2,15.1,22.5,13,365
Toyota,Toyota PICKUP 1.5L,PICKUP TRUCK - SMALL,1.5,4,M6,X,11.1,5.4,9.2,31,220
Hyundai,Hyundai FULL-SIZE 4.0L,FULL-SIZE,4.0,8,AS10,Z,18.3,8.1,14.9,19,357
Chevrolet,Chevrolet PICKUP 2.0L,PICKUP TRUCK - STANDARD,2.0,4,M6,Z,10.7,5.9,9.1,31,219
Nissan,Nissan VAN 2.5L,VAN - CARGO,2.5,4,AS10,X,10.9,5.2,9.0,31,211
Ford,Ford PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,A8,D,16.8,9.6,14.4,20,384
Ford,Ford SUV 3.5L,SUV - STANDARD,3.5,6,M6,X,15.0,7.8,12.6,22,295
Audi,Audi VAN 3.5L,VAN - CARGO,3.5,6,AS8,X,15.4,6.4,12.4,23,290
Audi,Audi SUV 1.8L,SUV - SMALL,1.8,4,A8,X,9.7,6.7,8.7,32,211
Nissan,Nissan MINICOMPACT 3.6L,MINICOMPACT,3.6,6,AM7,Z,14.4,7.2,12.0,24,283
Volkswagen,Volkswagen SUV 2.4L,SUV - SMALL,2.4,4,M6,X,11.8,7.9,10.5,27,250
Ram,Ram MINIVAN 3.0L,MINIVAN,3.0,6,A6,X,13.1,6.2,10.8,26,262
Toyota,Toyota SUBCOMPACT 5.0L,SUBCOMPACT,5.0,8,M5,Z,19.9,9.7,16.5,17,381
BMW,BMW TWO-SEATER 3.6L,TWO-SEATER,3.6,6,AS10,X,16.4,7.1,13.3,21,314
Jeep,Jeep VAN 5.0L,VAN - PASSENGER,5.0,8,AS6,Z,19.0,10.9,16.3,17,384
BMW,BMW MID-SIZE 3.5L,MID-SIZE,3.5,6,AS6,D,12.8,8.0,11.2,25,296
Mercedes-Benz,Mercedes-Benz COMPACT 3.0L,COMPACT,3.0,6,AS6,Z,15.2,8.6,13.0,22,306
Ford,Ford PICKUP 2.4L,PICKUP TRUCK - STANDARD,2.4,4,A6,X,11.7,6.6,10.0,28,237
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,AS6,X,18.0,11.4,15.8,18,371
Ram,Ram COMPACT 2.5L,COMPACT,2.5,4,AS10,Z,12.2,7.1,10.5,27,249
GMC,GMC TWO-SEATER 3.6L,TWO-SEATER,3.6,6,A6,Z,15.4,8.2,13.0,22,308
Honda,Honda PICKUP 3.0L,PICKUP TRUCK - SMALL,3.0,6,M5,N,13.8,7.2,11.6,24,208
Mercedes-Benz,Mercedes-Benz PICKUP 1.5L,PICKUP TRUCK - SMALL,1.5,4,M6,X,8.8,6.1,7.9,36,186
Chevrolet,Chevrolet FULL-SIZE 3.0L,FULL-SIZE,3.0,6,AS10,X,13.7,9.8,12.4,23,294
Chevrolet,Chevrolet SUV 3.5L,SUV - STANDARD,3.5,6,AM7,X,15.0,7.8,12.6,22,300
Chevrolet,Chevrolet VAN 3.5L,VAN - PASSENGER,3.5,6,A9,X,15.9,6.6,12.8,22,295
Audi,Audi SUBCOMPACT 1.8L,SUBCOMPACT,1.8,4,AM7,Z,11.6,5.6,9.6,29,228
Volkswagen,Volkswagen VAN 4.0L,VAN - CARGO,4.0,8,A8,X,16.6,11.5,14.9,19,349
Honda,Honda VAN 2.5L,VAN - PASSENGER,2.5,4,A9,Z,11.5,8.2,10.4,27,245
BMW,BMW COMPACT 3.0L,COMPACT,3.0,6,A6,Z,13.9,6.7,11.5,25,272
Porsche,Porsche MID-SIZE 3.0L,MID-SIZE,3.0,6,A8,Z,16.1,7.1,13.1,22,311
Volkswagen,Volkswagen SUV 3.0L,SUV - STANDARD,3.0,6,M6,D,12.4,5.5,10.1,28,271
Audi,Audi FULL-SIZE 1.8L,FULL-SIZE,1.8,4,AV,Z,11.5,7.0,10.0,28,241
Nissan,Nissan SUV 3.0L,SUV - STANDARD,3.0,6,AS10,X,14.0,7.1,11.7,24,275
Mercedes-Benz,Mercedes-Benz VAN 3.5L,VAN - CARGO,3.5,6,A6,Z,16.1,8.0,13.4,21,315
Chevrolet,Chevrolet TWO-SEATER 3.5L,TWO-SEATER,3.5,6,A9,E,21.2,8.6,17.0,17,284
BMW,BMW SUBCOMPACT 3.6L,SUBCOMPACT,3.6,6,AS8,X,14.1,8.4,12.2,23,279
Hyundai,Hyundai VAN 1.5L,VAN - CARGO,1.5,4,A8,X,9.0,5.7,7.9,36,179
Ford,Ford SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,AM7,Z,11.1,5.1,9.1,31,212
Ford,Ford MINIVAN 3.6L,MINIVAN,3.6,6,M5,X,14.7,7.2,12.2,23,282
Ford,Ford STATION 2.5L,STATION WAGON - SMALL,2.5,4,A8,Z,12.1,8.2,10.8,26,252
Ford,Ford PICKUP 1.8L,PICKUP TRUCK - SMALL,1.8,4,AM7,Z,11.3,7.1,9.9,29,232
GMC,GMC SUV 3.5L,SUV - SMALL,3.5,6,M5,X,14.3,6.8,11.8,24,268
Volkswagen,Volkswagen TWO-SEATER 1.8L,TWO-SEATER,1.8,4,M5,Z,11.3,5.0,9.2,31,208
Toyota,Toyota TWO-SEATER 1.5L,TWO-SEATER,1.5,4,AM7,X,10.6,5.8,9.0,31,211
Ford,Ford VAN 3.5L,VAN - PASSENGER,3.5,6,A8,X,14.8,8.5,12.7,22,296
Toyota,Toyota MINIVAN 3.6L,MINIVAN,3.6,6,AS6,E,20.5,10.9,17.3,16,280
Toyota,Toyota VAN 5.0L,VAN - CARGO,5.0,8,AS8,Z,18.4,12.4,16.4,17,389
Chevrolet,Chevrolet SUV 5.3L,SUV - STANDARD,5.3,8,M6,E,25.9,16.3,22.7,12,373
Mercedes-Benz,Mercedes-Benz TWO-SEATER 3.0L,TWO-SEATER,3.0,6,A9,Z,14.6,6.2,11.8,24,281
Mercedes-Benz,Mercedes-Benz MINIVAN 1.5L,MINIVAN,1.5,4,AS8,Z,8.7,5.7,7.7,37,184
Nissan,Nissan SUV 5.0L,SUV - STANDARD,5.0,8,AV,X,19.6,10.3,16.5,17,393
Nissan,Nissan MINIVAN 1.5L,MINIVAN,1.5,4,AS8,X,7.5,5.1,6.7,42,155
Ford,Ford VAN 3.3L,VAN - PASSENGER,3.3,6,AS10,X,14.5,6.1,11.7,24,272
Mercedes-Benz,Mercedes-Benz SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,A9,Z,16.5,7.8,13.6,21,326
Nissan,Nissan MINIVAN 1.5L,MINIVAN,1.5,4,A8,Z,9.4,5.2,8.0,35,184
Toyota,Toyota MINICOMPACT 2.4L,MINICOMPACT,2.4,4,AM7,Z,10.9,4.9,8.9,32,216
GMC,GMC MINICOMPACT 2.0L,MINICOMPACT,2.0,4,AS6,X,10.2,6.6,9.0,31,212
Honda,Honda STATION 1.5L,STATION WAGON - SMALL,1.5,4,A6,X,9.3,6.0,8.2,34,191
Chevrolet,Chevrolet VAN 5.3L,VAN - PASSENGER,5.3,8,AV,D,17.3,8.0,14.2,20,386
Ford,Ford SUV 3.6L,SUV - SMALL,3.6,6,A8,X,14.8,9.4,13.0,22,306
Nissan,Nissan TWO-SEATER 1.5L,TWO-SEATER,1.5,4,A8,X,10.3,5.8,8.8,32,213
Ford,Ford STATION 1.5L,STATION WAGON - SMALL,1.5,4,M5,Z,10.7,5.6,9.0,31,216
Audi,Audi COMPACT 2.0L,COMPACT,2.0,4,AS10,X,9.1,5.5,7.9,36,184
Porsche,Porsche SUV 3.6L,SUV - SMALL,3.6,6,AS10,E,19.3,12.7,17.1,17,285
Audi,Audi TWO-SEATER 4.0L,TWO-SEATER,4.0,8,AS10,Z,18.1,7.6,14.6,19,335
Mercedes-Benz,Mercedes-Benz VAN 2.0L,VAN - CARGO,2.0,4,A9,X,11.2,5.8,9.4,30,224
Nissan,Nissan COMPACT 2.0L,COMPACT,2.0,4,AS6,Z,10.2,6.0,8.8,32,214
Toyota,Toyota PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,4,A6,X,10.3,4.9,8.5,33,196
Audi,Audi MINICOMPACT 2.0L,MINICOMPACT,2.0,4,AS8,E,14.4,7.8,12.2,23,199
Porsche,Porsche MINIVAN 3.0L,MINIVAN,3.0,6,M5,Z,14.8,7.6,12.4,23,289
Mercedes-Benz,Mercedes-Benz MINICOMPACT 3.6L,MINICOMPACT,3.6,6,AV,X,15.1,7.3,12.5,23,297
Ram,Ram PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,AV,E,20.3,11.9,17.5,16,290
Lexus,Lexus MINICOMPACT 5.0L,MINICOMPACT,5.0,8,AS10,E,24.5,17.0,22.0,13,365
Chevrolet,Chevrolet VAN 5.3L,VAN - PASSENGER,5.3,8,AM7,D,17.2,8.2,14.2,20,378
Ford,Ford STATION 3.5L,STATION WAGON - SMALL,3.5,6,AS10,Z,16.3,7.3,13.3,21,312
Ford,Ford VAN 2.7L,VAN - PASSENGER,2.7,6,AM7,D,10.2,6.9,9.1,31,242
Ford,Ford TWO-SEATER 1.5L,TWO-SEATER,1.5,4,AS6,D,8.2,4.9,7.1,40,184
Ford,Ford SUV 2.7L,SUV - STANDARD,2.7,6,AS10,X,12.6,5.7,10.3,27,243
Honda,Honda COMPACT 3.0L,COMPACT,3.0,6,AS10,X,13.8,8.1,11.9,24,281
Ford,Ford VAN 5.3L,VAN - PASSENGER,5.3,8,AM7,X,19.8,10.8,16.8,17,397
BMW,BMW SUBCOMPACT 5.0L,SUBCOMPACT,5.0,8,AV,X,20.4,8.4,16.4,17,381
GMC,GMC SUV 6.2L,SUV - STANDARD,6.2,8,A6,X,21.2,15.2,19.2,15,451
Ford,Ford VAN 3.5L,VAN - PASSENGER,3.5,6,M6,X,16.1,7.4,13.2,21,309
Jeep,Jeep MID-SIZE 1.5L,MID-SIZE,1.5,4,AS8,X,10.8,5.4,9.0,31,208
BMW,BMW TWO-SEATER 2.4L,TWO-SEATER,2.4,4,AS8,X,11.0,4.7,8.9,32,208
Ford,Ford VAN 6.2L,VAN - PASSENGER,6.2,8,A9,E,27.9,19.8,25.2,11,414
Honda,Honda MINIVAN 2.0L,MINIVAN,2.0,4,M6,Z,10.2,7.2,9.2,31,214
Nissan,Nissan MINIVAN 2.5L,MINIVAN,2.5,4,A8,X,11.8,5.2,9.6,29,227
Dodge,Dodge TWO-SEATER 3.0L,TWO-SEATER,3.0,6,AS8,Z,14.2,8.2,12.2,23,293
Volkswagen,Volkswagen STATION 3.6L,STATION WAGON - SMALL,3.6,6,AM7,Z,16.3,7.0,13.2,21,311
Jeep,Jeep PICKUP 2.0L,PICKUP TRUCK - SMALL,2.0,4,AS8,D,7.8,5.1,6.9,41,182
BMW,BMW TWO-SEATER 3.0L,TWO-SEATER,3.0,6,AV,Z,14.3,7.4,12.0,24,278
Chevrolet,Chevrolet VAN 3.3L,VAN - PASSENGER,3.3,6,A6,D,10.2,6.3,8.9,32,233
Hyundai,Hyundai PICKUP 4.0L,PICKUP TRUCK - STANDARD,4.0,8,AM7,X,17.0,9.8,14.6,19,336
Jeep,Jeep MINICOMPACT 1.8L,MINICOMPACT,1.8,4,M5,Z,9.9,6.9,8.9,32,206
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,A9,X,7.2,4.5,6.3,45,147
Mercedes-Benz,Mercedes-Benz SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,A6,E,16.0,7.0,13.0,22,212
Mercedes-Benz,Mercedes-Benz STATION 4.0L,STATION WAGON - SMALL,4.0,8,AS6,E,21.5,13.7,18.9,15,316
Hyundai,Hyundai VAN 5.0L,VAN - PASSENGER,5.0,8,AS8,X,18.4,11.5,16.1,18,380
BMW,BMW PICKUP 3.6L,PICKUP TRUCK - STANDARD,3.6,6,A6,X,14.3,8.3,12.3,23,289
Subaru,Subaru SUV 1.5L,SUV - SMALL,1.5,4,AM7,X,8.1,5.1,7.1,40,170
GMC,GMC MINIVAN 3.5L,MINIVAN,3.5,6,AM7,E,20.2,10.0,16.8,17,284
Mercedes-Benz,Mercedes-Benz COMPACT 2.4L,COMPACT,2.4,4,AM7,X,11.2,7.6,10.0,28,238
Hyundai,Hyundai MINICOMPACT 2.4L,MINICOMPACT,2.4,4,AS8,X,10.1,6.8,9.0,31,211
Hyundai,Hyundai SUV 3.0L,SUV - STANDARD,3.0,6,M6,Z,13.9,7.0,11.6,24,275
Ford,Ford SUV 3.0L,SUV - STANDARD,3.0,6,AS8,E,19.7,9.2,16.2,17,269
Lexus,Lexus MINICOMPACT 2.4L,MINICOMPACT,2.4,4,A8,Z,11.4,5.4,9.4,30,220
Toyota,Toyota FULL-SIZE 2.5L,FULL-SIZE,2.5,4,A8,Z,12.1,6.7,10.3,27,240
Jeep,Jeep COMPACT 2.4L,COMPACT,2.4,4,M6,X,11.8,7.3,10.3,27,243
BMW,BMW MID-SIZE 2.5L,MID-SIZE,2.5,4,M5,X,10.3,5.5,8.7,32,201
Lexus,Lexus SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,AS10,X,15.3,7.2,12.6,22,301
Mercedes-Benz,Mercedes-Benz MID-SIZE 5.0L,MID-SIZE,5.0,8,AS6,X,18.8,8.9,15.5,18,362
Ford,Ford SUV 3.6L,SUV - STANDARD,3.6,6,M5,X,15.4,6.4,12.4,23,290
Lexus,Lexus STATION 2.0L,STATION WAGON - SMALL,2.0,4,AV,E,15.4,8.2,13.0,22,218
Ford,Ford PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,M5,X,21.0,10.8,17.6,16,417
BMW,BMW FULL-SIZE 4.0L,FULL-SIZE,4.0,8,AM7,X,15.2,10.4,13.6,21,322
Porsche,Porsche MINICOMPACT 1.8L,MINICOMPACT,1.8,3,M5,N,7.9,5.5,7.1,40,135
Porsche,Porsche MINICOMPACT 5.0L,MINICOMPACT,5.0,8,A9,Z,19.3,10.3,16.3,17,391
Audi,Audi FULL-SIZE 3.6L,FULL-SIZE,3.6,6,A9,X,15.2,8.0,12.8,22,305
Nissan,Nissan SUBCOMPACT 3.6L,SUBCOMPACT,3.6,6,AM7,X,14.5,6.1,11.7,24,279
Mercedes-Benz,Mercedes-Benz TWO-SEATER 3.0L,TWO-SEATER,3.0,6,AS8,E,20.2,8.2,16.2,17,270
BMW,BMW MINICOMPACT 3.6L,MINICOMPACT,3.6,6,AS8,X,15.4,9.7,13.5,21,325
BMW,BMW SUV 2.5L,SUV - STANDARD,2.5,4,M6,X,11.7,5.7,9.7,29,228
Honda,Honda VAN 1.5L,VAN - CARGO,1.5,4,AS6,X,8.7,5.1,7.5,38,177
Hyundai,Hyundai PICKUP 3.6L,PICKUP TRUCK - SMALL,3.6,6,AS6,X,13.4,9.2,12.0,24,283
Jeep,Jeep MINIVAN 3.6L,MINIVAN,3.6,6,M6,D,13.3,6.1,10.9,26,296
Hyundai,Hyundai MID-SIZE 3.0L,MID-SIZE,3.0,6,A9,Z,13.3,9.1,11.9,24,270
Ford,Ford FULL-SIZE 3.5L,FULL-SIZE,3.5,6,AV,X,15.3,9.3,13.3,21,314
Toyota,Toyota MINIVAN 1.5L,MINIVAN,1.5,4,AS10,E,12.3,6.3,10.3,27,168
Ford,Ford MINIVAN 2.4L,MINIVAN,2.4,4,A6,X,11.6,5.6,9.6,29,230
Audi,Audi FULL-SIZE 4.0L,FULL-SIZE,4.0,8,AM7,X,15.8,10.1,13.9,20,329
Mercedes-Benz,Mercedes-Benz STATION 3.6L,STATION WAGON - SMALL,3.6,6,M6,Z,17.5,9.4,14.8,19,345
Dodge,Dodge TWO-SEATER 2.4L,TWO-SEATER,2.4,4,A6,X,10.7,7.4,9.6,29,227
BMW,BMW STATION 5.0L,STATION WAGON - SMALL,5.0,8,AV,Z,18.4,10.9,15.9,18,374
Ford,Ford SUV 2.7L,SUV - STANDARD,2.7,6,M6,X,13.7,6.5,11.3,25,271
Ford,Ford MINIVAN 3.5L,MINIVAN,3.5,6,M5,N,15.0,6.3,12.1,23,222
Hyundai,Hyundai VAN 2.5L,VAN - CARGO,2.5,4,A9,Z,12.9,6.3,10.7,26,252
Nissan,Nissan PICKUP 5.0L,PICKUP TRUCK - SMALL,5.0,8,A9,X,18.8,9.8,15.8,18,370
Ford,Ford PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,M6,X,13.5,9.3,12.1,23,281
Ford,Ford MINIVAN 2.4L,MINIVAN,2.4,4,AS10,E,16.2,9.3,13.9,20,235
Volkswagen,Volkswagen FULL-SIZE 5.0L,FULL-SIZE,5.0,8,A9,Z,21.1,8.8,17.0,17,402
Ford,Ford MINICOMPACT 5.0L,MINICOMPACT,5.0,8,A8,Z,17.8,12.1,15.9,18,370
Jeep,Jeep VAN 2.5L,VAN - PASSENGER,2.5,4,AS6,X,12.1,7.9,10.7,26,255
Volkswagen,Volkswagen VAN 3.5L,VAN - CARGO,3.5,6,M6,X,14.1,8.7,12.3,23,287
Ford,Ford VAN 3.5L,VAN - PASSENGER,3.5,6,A9,X,13.0,8.8,11.6,24,269
Ford,Ford SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,M5,X,11.1,7.2,9.8,29,217
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,AV,X,9.8,4.4,8.0,35,186
Mercedes-Benz,Mercedes-Benz PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,4,M5,Z,12.1,5.5,9.9,29,226
Mercedes-Benz,Mercedes-Benz VAN 2.0L,VAN - CARGO,2.0,4,A9,E,14.2,8.5,12.3,23,208
Jeep,Jeep SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,AS6,X,12.4,6.4,10.4,27,248
Porsche,Porsche SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,A8,X,15.0,9.0,13.0,22,306
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,AM7,X,7.3,4.9,6.5,43,147
Hyundai,Hyundai SUV 2.4L,SUV - SMALL,2.4,4,AS10,Z,13.0,6.7,10.9,26,257
Mercedes-Benz,Mercedes-Benz PICKUP 4.0L,PICKUP TRUCK - STANDARD,4.0,8,A6,Z,17.3,11.6,15.4,18,360
Ford,Ford VAN 3.5L,VAN - PASSENGER,3.5,6,M5,X,15.7,8.5,13.3,21,315
Hyundai,Hyundai PICKUP 5.0L,PICKUP TRUCK - SMALL,5.0,8,A6,Z,18.3,12.0,16.2,17,380
Audi,Audi FULL-SIZE 2.0L,FULL-SIZE,2.0,3,M6,Z,9.8,6.5,8.7,32,207
Mercedes-Benz,Mercedes-Benz COMPACT 2.4L,COMPACT,2.4,4,AS10,X,13.1,5.6,10.6,27,257
Lexus,Lexus MINICOMPACT 2.5L,MINICOMPACT,2.5,4,A6,E,16.0,11.5,14.5,19,242
Ford,Ford PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,A9,X,20.0,11.9,17.3,16,407
Toyota,Toyota SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,A8,E,18.2,12.2,16.2,17,262
Ford,Ford PICKUP 3.6L,PICKUP TRUCK - SMALL,3.6,6,A9,Z,15.1,9.1,13.1,22,308
Toyota,Toyota MID-SIZE 4.0L,MID-SIZE,4.0,8,M5,X,17.4,10.8,15.2,19,360
Ford,Ford MINICOMPACT 2.5L,MINICOMPACT,2.5,4,A8,X,12.1,6.4,10.2,28,244
Ford,Ford VAN 5.0L,VAN - PASSENGER,5.0,8,A9,X,19.2,11.7,16.7,17,394
Ford,Ford SUV 6.2L,SUV - STANDARD,6.2,8,AS10,E,29.5,12.1,23.7,12,384
Nissan,Nissan TWO-SEATER 3.5L,TWO-SEATER,3.5,6,A8,Z,15.5,7.4,12.8,22,304
Volkswagen,Volkswagen PICKUP 1.5L,PICKUP TRUCK - SMALL,1.5,4,AS6,X,9.3,4.5,7.7,37,189
Audi,Audi VAN 3.5L,VAN - PASSENGER,3.5,6,M6,N,13.4,8.9,11.9,24,213
Ram,Ram SUV 5.3L,SUV - STANDARD,5.3,8,A9,D,15.0,9.3,13.1,22,347
Mercedes-Benz,Mercedes-Benz PICKUP 3.5L,PICKUP TRUCK - SMALL,3.5,6,A8,Z,14.5,8.2,12.4,23,292
BMW,BMW PICKUP 3.5L,PICKUP TRUCK - SMALL,3.5,6,A8,Z,14.4,10.2,13.0,22,299
